HeightRank,Name,Classification(DoBIH codes),Completed,Completed Date,Height(ft),Height(m),URL,OS Grid Reference,Planned,Priority,Prom.(ft),Prom.(m),Section,Topo Map,X,Y,Latitude,Longitude
23,St Sunday Crag,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,759",841,https://en.wikipedia.org/wiki/St_Sunday_Crag,NY3690013300,,,522,159,Eastern Fells,90,336900,513300,54.51106,-2.9761049
24,Crag Hill [Eel Crag],"Hu,Sim,Hew,N,W,B,Sy,Fel",,,"2,753",839,https://en.wikipedia.org/wiki/Crag_HillÊ[Eel Crag],NY1920020300,,,384,117,North Western Fells,89 90,319200,520300,54.571437,-3.2513445
25,High Street,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,717",828,https://en.wikipedia.org/wiki/High_Street_(Lake_District),NY4400011000,,,"1,224",373,Far Eastern Fells,90,344000,511000,54.491228,-2.8660214
26,Red Pike,"Sim,Hew,N,W,B,Sy,Fel",,,"2,710",826,https://en.wikipedia.org/wiki/Red_Pike_(Wasdale),NY1650010600,,,203,62,Western Fells,89,316500,510600,54.483848,-3.2903449
27,Hart Crag,"Sim,Hew,N,W,B,Sy,Fel",,,"2,697",822,https://en.wikipedia.org/wiki/Hart_Crag,NY3690011200,,,157,48,Eastern Fells,90,336900,511200,54.492191,-2.9756552
28,Steeple,"N,sSim,W,B,Sy,Fel",,,"2,687",819,https://en.wikipedia.org/wiki/Steeple_(Lake_District),NY1570011600,,,79,24,Western Fells,89,315700,511600,54.4927,-3.3029753
29,Lingmell,"Sim,Hew,N,W,B,Sy,Fel",,,"2,648",807,https://en.wikipedia.org/wiki/Lingmell,NY2090008100,,,236,72,Southern Fells,89 90,320900,508100,54.462092,-3.2217781
30,High Stile,"W,B",,,"2,644",806,https://en.wikipedia.org/wiki/High_Stile,NY1670014700,,,33,10,Western Fells,89,316700,514700,54.520718,-3.2884174
31,The Old Man of Coniston,"Ma,Sim,Hew,N,W,B,Sy,Fel,CoH",,,"2,633",802,https://en.wikipedia.org/wiki/The_Old_Man_of_Coniston,SD2720097800,,,"1,362",415,Southern Fells,96 97,327200,497800,54.370487,-3.1220791
32,Swirl How,"Hu,Sim,Hew,N,W,B,Sy,Fel",,,"2,633",802,https://en.wikipedia.org/wiki/Swirl_How,NY2720000500,,,394,120,Southern Fells,89 90,327200,500500,54.394747,-3.1227412
33,Kirk Fell,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,631",802,https://en.wikipedia.org/wiki/Kirk_Fell,NY1940010400,,,594,181,Western Fells,89 90,319400,510400,54.48252,-3.2455403
34,High Raise (High Street),"Sim,Hew,N,W,B,Sy,Fel",,,"2,631",802,https://en.wikipedia.org/wiki/High_Raise_(High_Street),NY4480013400,,,289,88,Far Eastern Fells,90,344800,513400,54.512882,-2.8541225
35,Green Gable,"Sim,Hew,N,W,B,Sy,Fel",,,"2,628",801,https://en.wikipedia.org/wiki/Green_Gable,NY2140010700,,,164,50,Western Fells,89 90,321400,510700,54.48553,-3.2147588
36,Haycock,"Sim,Hew,N,sHu,W,B,Sy,Fel",,,"2,615",797,https://en.wikipedia.org/wiki/Haycock_(Lake_District),NY1440010700,,,308,94,Southern Fells,89,314400,510700,54.484396,-3.3227783
37,Brim Fell,"N,sSim,W,B,Sy,Fel",,,"2,612",796,https://en.wikipedia.org/wiki/Brim_Fell,SD2700098500,,,69,21,Western Fells,96 97,327000,498500,54.376748,-3.1253289
38,Rampsgill Head,"Sim,Hew,N,W,B,Sy,Fel",,,"2,598",792,https://en.wikipedia.org/wiki/Rampsgill_Head,NY4430012800,,,135,41,Far Eastern Fells,90,344300,512800,54.507436,-2.861731
39,Dove Crag,"Sim,Hew,N,W,B,Sy,Fel",,,"2,598",792,https://en.wikipedia.org/wiki/Dove_Crag,NY3740010400,,,164,50,Eastern Fells,90,337400,510400,54.485064,-2.9677675
40,Grisedale Pike,"Ma,Sim,Hew,N,W,B,Sy,Fel",,,"2,595",791,https://en.wikipedia.org/wiki/Grisedale_Pike,NY1980022500,,,620,189,North Western Fells,89 90,319800,522500,54.591299,-3.2426675
41,Watson's Dodd,"W,B,Sy,Fel",,,"2,589",789,https://en.wikipedia.org/wiki/Watson's_Dodd,NY3350019500,,,36,11,Eastern Fells,90,333500,519500,54.566334,-3.0300119
42,Allen Crags,"Sim,Hew,N,W,B,Sy,Fel",,,"2,575",785,https://en.wikipedia.org/wiki/Allen_Crags,NY2360008500,,,197,60,Southern Fells,89 90,323600,508500,54.466099,-3.1802389
43,Great Carrs,"N,sSim,W,B,Sy,Fel",,,"2,575",785,https://en.wikipedia.org/wiki/Great_Carrs,NY2700000900,,,66,20,Southern Fells,89 90,327000,500900,54.398312,-3.1259193
44,Thornthwaite Crag,"Sim,Hew,N,W,B,Sy,Fel",,,"2,572",784,https://en.wikipedia.org/wiki/Thornthwaite_Crag,NY4310010000,,,102,31,Far Eastern Fells,90,343100,510000,54.482142,-2.8797205
